src_login,dst_login,type,weight,timestamp,source_id
copilot-pull-request-reviewer[bot],localden,review_pr,4,2025-08-25T18:26:49Z,1
mnriem,micahgodbolt,close_issue,3,2026-05-06T20:41:43Z,10
best-shalom,micahgodbolt,comment_issue,2,2025-12-17T09:51:29Z,10
cianclarke,micahgodbolt,comment_issue,2,2025-09-04T10:08:07Z,10
hashimwarren,micahgodbolt,comment_issue,2,2025-09-04T11:49:20Z,10
jcleigh,micahgodbolt,comment_issue,2,2025-09-03T21:49:50Z,10
mnriem,micahgodbolt,comment_issue,2,2026-05-06T20:41:43Z,10
vasani-arpit,micahgodbolt,comment_issue,2,2025-09-09T05:54:23Z,10
micahgodbolt,best-shalom,open_issue_commented,3,2025-12-17T09:51:29Z,10
micahgodbolt,cianclarke,open_issue_commented,3,2025-09-04T10:08:07Z,10
micahgodbolt,hashimwarren,open_issue_commented,3,2025-09-04T11:49:20Z,10
micahgodbolt,jcleigh,open_issue_commented,3,2025-09-03T21:49:50Z,10
micahgodbolt,mnriem,open_issue_commented,3,2026-05-06T20:41:43Z,10
micahgodbolt,vasani-arpit,open_issue_commented,3,2025-09-09T05:54:23Z,10
Copilot,localden,comment_pr,2,2025-09-09T06:15:55Z,100
Copilot,localden,comment_pr,2,2025-09-09T06:17:52Z,100
Copilot,localden,comment_pr,2,2025-09-09T06:17:53Z,100
copilot-pull-request-reviewer[bot],localden,review_pr,4,2025-09-09T06:15:56Z,100
copilot-pull-request-reviewer[bot],localden,review_pr,4,2025-09-09T06:17:53Z,100
github-actions[bot],tlightsky,close_issue,3,2026-05-07T01:03:18Z,1000
github-actions[bot],tlightsky,comment_issue,2,2026-04-03T14:09:47Z,1000
github-actions[bot],tlightsky,comment_issue,2,2026-05-07T01:03:18Z,1000
tlightsky,github-actions[bot],open_issue_commented,3,2026-04-03T14:09:47Z,1000
tlightsky,github-actions[bot],open_issue_commented,3,2026-05-07T01:03:18Z,1000
localden,TCoherence,merge_pr,5,2025-10-22T02:28:26Z,1001
localden,TCoherence,review_pr,4,2025-10-22T02:28:17Z,1001
Copilot,harikrishnan83,comment_pr,2,2025-10-22T02:23:54Z,1002
Copilot,harikrishnan83,comment_pr,2,2025-10-22T02:27:55Z,1002
localden,harikrishnan83,merge_pr,5,2025-10-22T02:27:49Z,1002
copilot-pull-request-reviewer[bot],harikrishnan83,review_pr,4,2025-10-22T02:23:54Z,1002
copilot-pull-request-reviewer[bot],harikrishnan83,review_pr,4,2025-10-22T02:27:55Z,1002
Copilot,localden,comment_pr,2,2025-10-22T02:37:01Z,1003
Copilot,localden,comment_pr,2,2025-10-22T02:37:02Z,1003
copilot-pull-request-reviewer[bot],localden,review_pr,4,2025-10-22T02:37:02Z,1003
github-actions[bot],dz85,close_issue,3,2026-05-21T01:12:13Z,1006
github-actions[bot],dz85,comment_issue,2,2026-04-21T00:56:48Z,1006
github-actions[bot],dz85,comment_issue,2,2026-05-21T01:12:12Z,1006
dz85,github-actions[bot],open_issue_commented,3,2026-04-21T00:56:48Z,1006
dz85,github-actions[bot],open_issue_commented,3,2026-05-21T01:12:12Z,1006
github-actions[bot],ekadetov,close_issue,3,2026-05-07T01:03:17Z,1008
github-actions[bot],ekadetov,comment_issue,2,2026-04-03T14:09:46Z,1008
github-actions[bot],ekadetov,comment_issue,2,2026-05-07T01:03:16Z,1008
saranya-sivan,ekadetov,comment_issue,2,2025-10-23T04:32:13Z,1008
ekadetov,github-actions[bot],open_issue_commented,3,2026-04-03T14:09:46Z,1008
ekadetov,github-actions[bot],open_issue_commented,3,2026-05-07T01:03:16Z,1008
ekadetov,saranya-sivan,open_issue_commented,3,2025-10-23T04:32:13Z,1008
Alexandre-Nourissier,ricardojmendez,comment_pr,2,2026-01-02T10:25:50Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-10-22T08:10:08Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-10-22T08:10:09Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-10-31T10:35:15Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-10-31T10:35:16Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-11-23T10:05:21Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-11-23T10:05:22Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-11-23T10:05:23Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-11-25T18:06:52Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-11-25T18:06:53Z,1009
Copilot,ricardojmendez,comment_pr,2,2025-11-25T18:06:54Z,1009
Copilot,ricardojmendez,comment_pr,2,2026-03-10T10:13:51Z,1009
Copilot,ricardojmendez,comment_pr,2,2026-03-10T10:13:52Z,1009
Copilot,ricardojmendez,comment_pr,2,2026-03-10T10:13:53Z,1009
Copilot,ricardojmendez,comment_pr,2,2026-03-10T10:13:54Z,1009
Shehab-Muhammad,ricardojmendez,comment_pr,2,2026-01-17T11:45:07Z,1009
Shehab-Muhammad,ricardojmendez,comment_pr,2,2026-01-17T12:12:14Z,1009
gabrielhmsantos,ricardojmendez,comment_pr,2,2026-04-02T18:41:42Z,1009
mnriem,ricardojmendez,comment_pr,2,2026-03-09T13:12:41Z,1009
mnriem,ricardojmendez,comment_pr,2,2026-03-09T14:50:10Z,1009
mnriem,ricardojmendez,comment_pr,2,2026-03-09T15:58:54Z,1009
copilot-pull-request-reviewer[bot],ricardojmendez,review_pr,4,2025-10-22T08:10:09Z,1009
copilot-pull-request-reviewer[bot],ricardojmendez,review_pr,4,2025-10-31T10:35:16Z,1009
copilot-pull-request-reviewer[bot],ricardojmendez,review_pr,4,2025-11-23T10:05:23Z,1009
copilot-pull-request-reviewer[bot],ricardojmendez,review_pr,4,2025-11-25T18:06:54Z,1009
copilot-pull-request-reviewer[bot],ricardojmendez,review_pr,4,2026-03-10T10:13:54Z,1009
djeffersonx,ricardojmendez,review_pr,4,2025-10-22T14:29:00Z,1009
djeffersonx,ricardojmendez,review_pr,4,2026-03-06T12:38:09Z,1009
mnriem,ricardojmendez,review_pr,4,2026-03-10T13:56:44Z,1009
dhilipkumars,juniorsereno,comment_issue,2,2026-02-24T18:45:20Z,1011
swingingsimian,juniorsereno,comment_issue,2,2026-02-24T17:34:26Z,1011
juniorsereno,dhilipkumars,open_issue_commented,3,2026-02-24T18:45:20Z,1011
juniorsereno,swingingsimian,open_issue_commented,3,2026-02-24T17:34:26Z,1011
github-actions[bot],squickone,close_issue,3,2026-05-07T01:03:15Z,1012
github-actions[bot],squickone,comment_issue,2,2026-04-03T14:09:45Z,1012
github-actions[bot],squickone,comment_issue,2,2026-05-07T01:03:15Z,1012
squickone,github-actions[bot],open_issue_commented,3,2026-04-03T14:09:45Z,1012
squickone,github-actions[bot],open_issue_commented,3,2026-05-07T01:03:15Z,1012
github-actions[bot],carolitascl,close_issue,3,2026-05-07T01:03:14Z,1014
github-actions[bot],carolitascl,comment_issue,2,2026-04-03T14:09:43Z,1014
github-actions[bot],carolitascl,comment_issue,2,2026-05-07T01:03:13Z,1014
carolitascl,github-actions[bot],open_issue_commented,3,2026-04-03T14:09:43Z,1014
carolitascl,github-actions[bot],open_issue_commented,3,2026-05-07T01:03:13Z,1014
localden,mengguiyouziyi,close_issue,3,2025-10-23T17:15:46Z,1015
TCoherence,mengguiyouziyi,comment_issue,2,2025-10-23T05:10:46Z,1015
qinyudong89,mengguiyouziyi,comment_issue,2,2025-10-23T02:58:22Z,1015
mengguiyouziyi,TCoherence,open_issue_commented,3,2025-10-23T05:10:46Z,1015
mengguiyouziyi,qinyudong89,open_issue_commented,3,2025-10-23T02:58:22Z,1015
github-actions[bot],thesobercoder,close_issue,3,2026-05-07T01:03:12Z,1016
github-actions[bot],thesobercoder,comment_issue,2,2026-04-03T14:09:42Z,1016
github-actions[bot],thesobercoder,comment_issue,2,2026-05-07T01:03:12Z,1016
josephcrawfordSRH,thesobercoder,comment_issue,2,2025-11-03T21:50:31Z,1016
rnagrodzkicl,thesobercoder,comment_issue,2,2025-10-26T17:19:37Z,1016
thesobercoder,github-actions[bot],open_issue_commented,3,2026-04-03T14:09:42Z,1016
thesobercoder,github-actions[bot],open_issue_commented,3,2026-05-07T01:03:12Z,1016
thesobercoder,josephcrawfordSRH,open_issue_commented,3,2025-11-03T21:50:31Z,1016
thesobercoder,rnagrodzkicl,open_issue_commented,3,2025-10-26T17:19:37Z,1016
localden,sigent-ai-dev,merge_pr,5,2025-10-23T17:11:38Z,1019
localden,sigent-ai-dev,review_pr,4,2025-10-23T17:10:19Z,1019
copilot-pull-request-reviewer[bot],localden,review_pr,4,2025-09-09T06:21:43Z,102
alexhancock,ayax79,comment_issue,2,2025-10-23T17:17:20Z,1021
alexhancock,ayax79,comment_issue,2,2025-10-23T18:48:26Z,1021
alxvasilevvv,ayax79,comment_issue,2,2026-03-21T05:23:58Z,1021
blackgirlbytes,ayax79,comment_issue,2,2025-10-23T17:39:43Z,1021
furkankoykiran,ayax79,comment_issue,2,2026-03-28T22:38:25Z,1021
furkankoykiran,ayax79,comment_issue,2,2026-03-28T22:39:46Z,1021
localden,ayax79,comment_issue,2,2025-10-23T17:13:15Z,1021
localden,ayax79,comment_issue,2,2025-10-23T18:41:33Z,1021
ayax79,alexhancock,open_issue_commented,3,2025-10-23T17:17:20Z,1021
ayax79,alexhancock,open_issue_commented,3,2025-10-23T18:48:26Z,1021
ayax79,alxvasilevvv,open_issue_commented,3,2026-03-21T05:23:58Z,1021
ayax79,blackgirlbytes,open_issue_commented,3,2025-10-23T17:39:43Z,1021
ayax79,furkankoykiran,open_issue_commented,3,2026-03-28T22:38:25Z,1021
ayax79,furkankoykiran,open_issue_commented,3,2026-03-28T22:39:46Z,1021
ayax79,localden,open_issue_commented,3,2025-10-23T17:13:15Z,1021
ayax79,localden,open_issue_commented,3,2025-10-23T18:41:33Z,1021
Copilot,Ashwinhegde19,comment_pr,2,2025-10-23T18:23:24Z,1023
Copilot,Ashwinhegde19,comment_pr,2,2025-10-23T18:23:25Z,1023
copilot-pull-request-reviewer[bot],Ashwinhegde19,review_pr,4,2025-10-23T18:23:25Z,1023
github-actions[bot],char-ykn,close_issue,3,2026-05-07T01:03:11Z,1024
github-actions[bot],char-ykn,comment_issue,2,2026-04-03T14:09:41Z,1024
github-actions[bot],char-ykn,comment_issue,2,2026-05-07T01:03:10Z,1024
char-ykn,github-actions[bot],open_issue_commented,3,2026-04-03T14:09:41Z,1024
char-ykn,github-actions[bot],open_issue_commented,3,2026-05-07T01:03:10Z,1024
dhndmn,konrouda,comment_issue,2,2025-11-03T20:51:26Z,1026
github-actions[bot],konrouda,comment_issue,2,2026-05-18T01:10:03Z,1026
solmon,konrouda,comment_issue,2,2025-12-18T11:32:01Z,1026
