login,graph,degree_in,degree_out,betweenness,closeness,pagerank
04cb,G1,0.000476,0.0,0.0,0.0,0.000291
0x006EA1E5,G1,0.000476,0.000476,1.5e-05,0.333333,0.000289
0xRabbidfly,G1,0.0,0.000476,0.0,0.333333,0.000288
0xi4o,G1,0.000476,0.000476,0.0,0.5,0.000289
0xrafasec,G1,0.001429,0.0,0.0,0.0,0.00042
1Megabyte,G1,0.0,0.0,0.0,0.0,0.000288
3San360,G1,0.0,0.000476,0.0,0.5,0.000288
3vmartinet,G1,0.0,0.000476,0.0,0.130435,0.000288
404prefrontalcortexnotfound,G1,0.000953,0.0,0.0,0.0,0.000295
42tg,G1,0.0,0.000476,0.0,0.25,0.000288
49115566,G1,0.000476,0.0,0.0,0.0,0.000289
6plosive,G1,0.0,0.000476,0.0,0.5,0.000288
70pice,G1,0.0,0.0,0.0,0.0,0.000288
812913329,G1,0.0,0.000476,0.0,0.222222,0.000288
A2Y-D5L,G1,0.0,0.000476,0.0,0.5,0.000288
AIstar007,G1,0.001429,0.0,0.0,0.0,0.00054
ANogin,G1,0.001429,0.000476,3.6e-05,0.5,0.000547
APJoshi-Projects,G1,0.000476,0.0,0.0,0.0,0.000508
ARRamanathan,G1,0.0,0.000476,0.0,0.5,0.000288
ATelbay,G1,0.000953,0.0,0.0,0.0,0.000295
AbdulSamad94,G1,0.000476,0.000476,0.0,0.5,0.000289
Adam-xuya,G1,0.0,0.000476,0.0,0.149425,0.000288
Adamcf123,G1,0.0,0.000476,0.0,0.166667,0.000288
Adr1an04,G1,0.000953,0.001429,0.0,0.16039,0.000295
Adyel,G1,0.0,0.000476,0.0,0.5,0.000288
Aiyatullah,G1,0.0,0.000476,0.0,0.5,0.000288
Ajaxiis,G1,0.000953,0.0,0.0,0.0,0.000657
Aki-07,G1,0.0,0.001429,0.0,0.5,0.000288
AlbertoBasalo,G1,0.005717,0.001906,0.000579,0.142857,0.003147
AlexSendula,G1,0.0,0.000476,0.0,0.194444,0.000288
Alexandre-Nourissier,G1,0.0,0.000953,0.0,0.375,0.000288
AlwaysHC,G1,0.0,0.0,0.0,0.0,0.000288
AmnezziaCS,G1,0.0,0.000476,0.0,0.5,0.000288
Anant00,G1,0.0,0.000476,0.0,0.333333,0.000288
AndersHsueh,G1,0.000953,0.0,0.0,0.0,0.000303
AndreasBom,G1,0.000476,0.0,0.0,0.0,0.000289
AndrewBert,G1,0.001906,0.000476,3.2e-05,0.5,0.000913
AndrewNikolin,G1,0.0,0.000476,0.0,0.142029,0.000288
Andrey-Yakovtsev,G1,0.0,0.000476,0.0,0.5,0.000288
AndyZHENG0715,G1,0.0,0.000476,0.0,0.269231,0.000288
Andytreusch1028,G1,0.0,0.000476,0.0,0.211514,0.000288
AreDee-Bangs,G1,0.0,0.000476,0.0,0.5,0.000288
ArpitSuthar,G1,0.000953,0.0,0.0,0.0,0.000538
ArthurFay,G1,0.000476,0.0,0.0,0.0,0.000291
Asdafers,G1,0.000476,0.0,0.0,0.0,0.00037
Ash-Blanc,G1,0.002382,0.0,0.0,0.0,0.001158
Ashwinhegde19,G1,0.001429,0.0,0.0,0.0,0.000425
Azeem-2,G1,0.001429,0.0,0.0,0.0,0.001024
B-SRIKRISHNAN,G1,0.000476,0.0,0.0,0.0,0.000293
Bad3r,G1,0.0,0.000476,0.0,0.5,0.000288
BarisEY,G1,0.0,0.000476,0.0,0.5,0.000288
Bassonrichard,G1,0.001429,0.0,0.0,0.0,0.001939
Basster,G1,0.000953,0.0,0.0,0.0,0.000295
BawstosAI,G1,0.0,0.0,0.0,0.0,0.000288
BenBtg,G1,0.000953,0.0,0.0,0.0,0.000295
Bengeljo,G1,0.000953,0.0,0.0,0.0,0.000535
Benj4,G1,0.0,0.000476,0.0,0.5,0.000288
BigBandaid2,G1,0.000476,0.0,0.0,0.0,0.000533
Bill-Zhongzb,G1,0.0,0.000476,0.0,0.5,0.000288
BobbyWang0120,G1,0.000953,0.0,0.0,0.0,0.000534
BrainSlugs83,G1,0.000953,0.0,0.0,0.0,0.000374
Brandsma,G1,0.0,0.0,0.0,0.0,0.000288
BretJohnson,G1,0.0,0.000953,0.0,0.5,0.000288
BrianChristman,G1,0.0,0.000476,0.0,0.5,0.000288
BrianGilbert,G1,0.0,0.000476,0.0,0.181818,0.000288
BrianSurrattDsg,G1,0.0,0.000476,0.0,0.5,0.000288
BuggyButLearning,G1,0.0,0.000476,0.0,0.127841,0.000288
BugsEverywhere,G1,0.002859,0.0,0.0,0.0,0.00127
BurtHarris,G1,0.000476,0.000476,0.0,0.087302,0.000289
Bus42,G1,0.0,0.000476,0.0,0.5,0.000288
BusuL,G1,0.0,0.000476,0.0,0.5,0.000288
C3scoo,G1,0.0,0.0,0.0,0.0,0.000288
CESARDELATORRE,G1,0.000953,0.0,0.0,0.0,0.000412
Calel33,G1,0.0,0.0,0.0,0.0,0.000288
Captainhum,G1,0.001906,0.0,0.0,0.0,0.000637
Cen-Yaozu,G1,0.001906,0.0,0.0,0.0,0.001031
Censseo,G1,0.000476,0.0,0.0,0.0,0.000291
Charca,G1,0.0,0.0,0.0,0.0,0.000288
Chatelo,G1,0.001906,0.0,0.0,0.0,0.000718
ChrisLeslie,G1,0.0,0.000476,0.0,0.5,0.000288
ChrisPbb,G1,0.0,0.000476,0.0,0.5,0.000288
ChrisTorng,G1,0.0,0.000476,0.0,0.5,0.000288
ChristianPresley,G1,0.001429,0.0,0.0,0.0,0.00048
Cigoler,G1,0.0,0.000476,0.0,0.5,0.000288
ClaraGaya,G1,0.0,0.000476,0.0,0.11528,0.000288
Cliveburr,G1,0.002859,0.0,0.0,0.0,0.001167
Connorbelez,G1,0.0,0.000476,0.0,0.5,0.000288
Copilot,G1,0.002382,0.121963,0.004406,0.282583,0.000748
Corneliu-ST,G1,0.0,0.000476,0.0,0.127841,0.000288
CutrelyAlex,G1,0.001906,0.0,0.0,0.0,0.000669
Cyptopimpinainteazy,G1,0.000476,0.0,0.0,0.0,0.0003
CzarScar,G1,0.000953,0.0,0.0,0.0,0.000477
Czlun,G1,0.0,0.0,0.0,0.0,0.000288
D7x7z49,G1,0.000953,0.000476,0.0,0.087555,0.000295
DD-L,G1,0.0,0.000476,0.0,0.5,0.000288
DFilipeS,G1,0.000476,0.0,0.0,0.0,0.000468
Danger2725,G1,0.000476,0.0,0.0,0.0,0.000289
DanielGregolate,G1,0.0,0.000476,0.0,0.5,0.000288
DanielHashmi,G1,0.000953,0.0,0.0,0.0,0.000295
DarceyLloyd,G1,0.0,0.000476,0.0,0.5,0.000288
DasBen,G1,0.0,0.0,0.0,0.0,0.000288
David7ce,G1,0.0,0.000476,0.0,0.5,0.000288
DaydreamCoding,G1,0.000953,0.000953,0.0,0.5,0.000301
DeLoWaN,G1,0.0,0.000476,0.0,0.5,0.000288
DenWin,G1,0.000476,0.000476,0.0,0.333333,0.000289
DerekChasse,G1,0.0,0.000476,0.0,0.333333,0.000288
Desgue,G1,0.0,0.000476,0.0,0.5,0.000288
DevAbdullah90,G1,0.000953,0.000476,0.0,0.1625,0.000295
DevGuyRash,G1,0.0,0.000953,0.0,0.5,0.000288
DevHusnainAi,G1,0.000476,0.0,0.0,0.0,0.0003
DevenDucommun,G1,0.000476,0.0,0.0,0.0,0.0003
DevinRB,G1,0.0,0.000476,0.0,0.102317,0.000288
Dexus,G1,0.001906,0.0,0.0,0.0,0.000489
DibbsZA,G1,0.000476,0.000476,2e-06,0.097967,0.000293
DiegoObethBatista,G1,0.001906,0.0,0.0,0.0,0.001106
Diegobevilacqua,G1,0.0,0.0,0.0,0.0,0.000288
Digi-Bo,G1,0.000953,0.0,0.0,0.0,0.000295
Dimsum-art,G1,0.000476,0.0,0.0,0.0,0.000293
DiscreteTom,G1,0.000953,0.0,0.0,0.0,0.000303
Divya1173,G1,0.0,0.000476,0.0,0.11528,0.000288
Dlniya,G1,0.0,0.000476,0.0,0.113065,0.000288
DmitryLukyanov,G1,0.0,0.000953,0.0,0.087647,0.000288
DmytrV,G1,0.0,0.000953,0.0,0.5,0.000288
DominicBoettger,G1,0.0,0.000476,0.0,0.5,0.000288
DonRichards,G1,0.0,0.000476,0.0,0.5,0.000288
Douda,G1,0.0,0.000476,0.0,0.333333,0.000288
DovieW,G1,0.0,0.000476,0.0,0.160343,0.000288
DrZuzzjen,G1,0.0,0.000476,0.0,0.5,0.000288
Drakosfire,G1,0.0,0.000476,0.0,0.5,0.000288
DyanGalih,G1,0.000953,0.0,0.0,0.0,0.000295
ETNOL,G1,0.000476,0.0,0.0,0.0,0.0003
EanHD,G1,0.000476,0.0,0.0,0.0,0.0003
EdesonABizerril,G1,0.0,0.0,0.0,0.0,0.000288
Ekerim,G1,0.0,0.000476,0.0,0.5,0.000288
EmadMokhtar,G1,0.0,0.000476,0.0,0.5,0.000288
Embracex1998,G1,0.0,0.000476,0.0,0.5,0.000288
EndenDragon,G1,0.001906,0.0,0.0,0.0,0.000909
EpicHigh,G1,0.0,0.000476,0.0,0.269231,0.000288
ErraticFox,G1,0.0,0.001429,0.0,0.5,0.000288
Etsija,G1,0.0,0.000953,0.0,0.166667,0.000288
Eunice55555,G1,0.0,0.0,0.0,0.0,0.000288
FabianoLothor,G1,0.000476,0.0,0.0,0.0,0.000289
Falamarcao,G1,0.0,0.000476,0.0,0.16,0.000288
Fango2007,G1,0.000953,0.001429,4e-06,0.4,0.000295
FaridMammadov19,G1,0.000476,0.0,0.0,0.0,0.000291
Farley-Chen,G1,0.0,0.000476,0.0,0.5,0.000288
Fatima367,G1,0.000953,0.0,0.0,0.0,0.000295
Ferneyman,G1,0.001906,0.0,0.0,0.0,0.000913
FidelusAleksander,G1,0.0,0.000476,0.0,0.5,0.000288
FladioArmandika,G1,0.0,0.000476,0.0,0.5,0.000288
Fluffyware,G1,0.000953,0.0,0.0,0.0,0.000382
Foufou-exe,G1,0.000476,0.0,0.0,0.0,0.000289
Francesco146,G1,0.001429,0.000476,8e-06,0.5,0.000304
Franky1,G1,0.001906,0.0,0.0,0.0,0.001036
G4bar,G1,0.000476,0.0,0.0,0.0,0.000293
GC-Scott,G1,0.003335,0.0,0.0,0.0,0.001648
Gaimchng3rjacob,G1,0.0,0.000476,0.0,0.5,0.000288
GenieRobot,G1,0.000953,0.0,0.0,0.0,0.000295
GeoloeG-IsT,G1,0.0,0.002859,0.0,0.15508,0.000288
GigaNuke3,G1,0.0,0.000476,0.0,0.5,0.000288
Gitchegumi,G1,0.0,0.000476,0.0,0.5,0.000288
Giuseppe-Bianc,G1,0.0,0.000476,0.0,0.5,0.000288
Godswillconcept,G1,0.000953,0.0,0.0,0.0,0.00035
Gokujo,G1,0.000953,0.0,0.0,0.0,0.000545
GoranHalvarsson,G1,0.003335,0.0,0.0,0.0,0.002367
GordonSmith,G1,0.000476,0.0,0.0,0.0,0.000289
GrimmiMeloni,G1,0.0,0.000476,0.0,0.5,0.000288
Guillaume-Docquier,G1,0.0,0.000476,0.0,0.5,0.000288
GunnGu,G1,0.0,0.000476,0.0,0.211514,0.000288
Guo-astro,G1,0.000953,0.0,0.0,0.0,0.000303
HamedMP,G1,0.002382,0.0,0.0,0.0,0.001123
Harshit12png,G1,0.0,0.000476,0.0,0.5,0.000288
Harveyhase68,G1,0.0,0.000476,0.0,0.5,0.000288
Hasina3159,G1,0.0,0.000476,0.0,0.5,0.000288
He-Pin,G1,0.0,0.000476,0.0,0.5,0.000288
HenryThriver,G1,0.0,0.000953,0.0,0.375,0.000288
Heremeus,G1,0.000476,0.0,0.0,0.0,0.000293
HerrBertling,G1,0.0,0.0,0.0,0.0,0.000288
HerrHansen,G1,0.000953,0.0,0.0,0.0,0.000301
HichemTab-tech,G1,0.0,0.000476,0.0,0.5,0.000288
Hotion13,G1,0.0,0.000476,0.0,0.222222,0.000288
HudsonAfonso,G1,0.000476,0.0,0.0,0.0,0.0003
Huljo,G1,0.000476,0.0,0.0,0.0,0.000293
HumaizaNaz,G1,0.000953,0.0,0.0,0.0,0.000295
HumbleMaxiu,G1,0.0,0.0,0.0,0.0,0.000288
Hyp3rSon1X,G1,0.0,0.000476,0.0,0.5,0.000288
INRIX-Christopher-Storer,G1,0.000476,0.0,0.0,0.0,0.000289
Ian1971,G1,0.005717,0.000953,2.1e-05,0.5,0.002358
Icalidur,G1,0.000476,0.0,0.0,0.0,0.000321
ImBIOS,G1,0.000953,0.0,0.0,0.0,0.000303
Insik-Han,G1,0.000476,0.0,0.0,0.0,0.000291
Inventrohyder,G1,0.000953,0.000476,1e-06,0.5,0.000701
IslamAlkhateeb,G1,0.0,0.000476,0.0,0.5,0.000288
IvoLondon,G1,0.0,0.000476,0.0,0.5,0.000288
JPClow3,G1,0.0,0.000476,0.0,0.5,0.000288
JRedeker,G1,0.0,0.000476,0.0,0.333333,0.000288
JYunth,G1,0.000476,0.0,0.0,0.0,0.000289
JackFR-84,G1,0.0,0.000476,0.0,0.5,0.000288
JackieQi,G1,0.0,0.0,0.0,0.0,0.000288
Jacques-Murray,G1,0.000953,0.0,0.0,0.0,0.000303
JanuszNowak,G1,0.000476,0.0,0.0,0.0,0.000291
Janzert,G1,0.0,0.000476,0.0,0.5,0.000288
Jarvis2021,G1,0.000953,0.0,0.0,0.0,0.000421
Jayiitb,G1,0.0,0.0,0.0,0.0,0.000288
JaysonAlbert,G1,0.000476,0.000476,1.8e-05,0.25,0.001871
JeandeCampredon,G1,0.0,0.0,0.0,0.0,0.000288
Jeehut,G1,0.0,0.000476,0.0,0.333333,0.000288
Jeep-Yang-92,G1,0.0,0.000476,0.0,0.5,0.000288
Jeidoz,G1,0.0,0.000476,0.0,0.5,0.000288
Jerad551,G1,0.0,0.0,0.0,0.0,0.000288
JeredBlu,G1,0.0,0.000476,0.0,0.25,0.000288
JiaKangning002,G1,0.000953,0.0,0.0,0.0,0.000295
JianfuLi,G1,0.0,0.0,0.0,0.0,0.000288
JoeG-SP,G1,0.0,0.000476,0.0,0.5,0.000288
JoelGoodman19,G1,0.003811,0.0,0.0,0.0,0.001886
JoergStrebel,G1,0.002382,0.0,0.0,0.0,0.001014
Jogiter,G1,0.0,0.000476,0.0,0.5,0.000288
JohnnyOpcode,G1,0.001429,0.0,0.0,0.0,0.00367
JosefJezek,G1,0.000476,0.000953,0.0,0.236842,0.000293
Josh-AS,G1,0.000476,0.0,0.0,0.0,0.000289
Jrakru,G1,0.000476,0.0,0.0,0.0,0.000291
JuanmeGarcia,G1,0.000476,0.0,0.0,0.0,0.000289
JulienBreux,G1,0.0,0.0,0.0,0.0,0.000288
JuozasIzi1,G1,0.0,0.000476,0.0,0.5,0.000288
KUTEJiang,G1,0.000953,0.0,0.0,0.0,0.000545
KalleNiemi,G1,0.0,0.000476,0.0,0.3,0.000288
Kalletal,G1,0.0,0.000476,0.0,0.5,0.000288
KarlMaynardDK,G1,0.001429,0.000476,8e-06,0.5,0.003028
Kataki-Takanashi,G1,0.0,0.000953,0.0,0.5,0.000288
Katekko,G1,0.000953,0.001429,2e-05,0.5,0.000545
KeentGG,G1,0.0,0.000953,0.0,0.5,0.000288
Kenerator,G1,0.0,0.000476,0.0,0.5,0.000288
KevinBrown5280,G1,0.000953,0.0,0.0,0.0,0.000295
KhawarHabibKhan,G1,0.001429,0.0,0.0,0.0,0.000327
KircMax,G1,0.000953,0.0,0.0,0.0,0.000318
KittiLakam,G1,0.0,0.0,0.0,0.0,0.000288
Kjasi,G1,0.0,0.000476,0.0,0.5,0.000288
KolissnikBogdan,G1,0.0,0.000476,0.0,0.5,0.000288
Korck-lab,G1,0.0,0.000476,0.0,0.5,0.000288
Koroqe,G1,0.0,0.000953,0.0,0.291667,0.000288
KristoferN,G1,0.0,0.000476,0.0,0.5,0.000288
Krzysztof318,G1,0.0,0.000476,0.0,0.5,0.000288
L3n41c,G1,0.001906,0.0,0.0,0.0,0.000441
LaddeRHTML,G1,0.0,0.000476,0.0,0.5,0.000288
LahkLeKey,G1,0.000953,0.0,0.0,0.0,0.000295
Lakkanna,G1,0.0,0.0,0.0,0.0,0.000288
Larry-Home,G1,0.0,0.000476,0.0,0.5,0.000288
Lennix,G1,0.0,0.000476,0.0,0.5,0.000288
Leonai-do,G1,0.001429,0.0,0.0,0.0,0.000414
Liflex,G1,0.0,0.0,0.0,0.0,0.000288
Linfee,G1,0.0,0.000476,0.0,0.5,0.000288
LiteracyFanatic,G1,0.000476,0.0,0.0,0.0,0.000289
LoackyBit,G1,0.0,0.0,0.0,0.0,0.000288
Logrui,G1,0.0,0.000476,0.0,0.5,0.000288
LoveJazzTZ,G1,0.0,0.0,0.0,0.0,0.000288
LuSrackhall,G1,0.000476,0.001429,3e-06,0.5,0.000289
LucianoDPerez,G1,0.000953,0.0,0.0,0.0,0.000538
Lucien-Liu,G1,0.0,0.0,0.0,0.0,0.000288
Luka123-cloud,G1,0.0,0.0,0.0,0.0,0.000288
Lukaa0,G1,0.0,0.000476,0.0,0.5,0.000288
LydiaCai1203,G1,0.0,0.000476,0.0,0.077684,0.000288
M7FX-1,G1,0.0,0.0,0.0,0.0,0.000288
MDean-Slalom,G1,0.002382,0.000476,3.3e-05,0.152174,0.001446
MDfly7,G1,0.0,0.001906,0.0,0.333333,0.000288
MRayermannMSFT,G1,0.0,0.000476,0.0,0.210526,0.000288
MRiabov,G1,0.000476,0.001429,7e-06,0.5,0.000289
MUHAMMEDHAFEEZ,G1,0.001906,0.0,0.0,0.0,0.000663
MadHuslista,G1,0.0,0.000476,0.0,0.5,0.000288
Magdoub,G1,0.0,0.000476,0.0,0.5,0.000288
